Year          Kazakhstan     Kyrgyz_Republic          Tajikistan        Turkmenistan          Uzbekistan
2000               517.4              2279.4              2239.1                59.8               306.8
2001               400.0              1794.9              2151.6                 9.4               247.0
2002               433.3              1858.9              2562.8                37.0               135.6
2003               443.1              2002.2              3022.8                46.7               193.9
2004               375.7              2048.2              3477.1                73.3               192.6
2005               343.2              1815.3              2561.3                66.6               240.4
2006               276.1              1402.9              2107.8                48.1               199.4
2007               263.4              1363.1              1887.2                69.6               188.7
2008               314.3              1238.8              1502.0                35.9               297.4
2009               539.9              3008.4              3337.0                32.3               234.3
2010               355.5              1926.3              2746.4                32.8               208.5
2011               371.8              1712.1              1608.7                41.9               198.6
2012               297.7              1456.0              3013.3                37.8               170.7
2013               376.7              1437.3              2328.0                12.3               165.2
2014               252.6              1216.0              2320.6                25.2               225.9
