Year          Kazakhstan     Kyrgyz_Republic          Tajikistan        Turkmenistan          Uzbekistan
2000              2066.7              7952.9              8282.4               403.1              1192.4
2001              1764.3              6771.6              7692.3                99.6              1216.5
2002              1685.9              6571.6              8927.0               277.6               692.7
2003              1565.7              6872.1             10018.8               281.2               980.1
2004              1505.8              7166.0             11248.5               407.2               915.7
2005              1463.3              6831.7              8972.1               367.9               988.9
2006              1145.0              5196.2              7364.1               298.6               928.4
2007              1152.7              5071.5              6926.0               375.7               882.0
2008              1319.3              5041.3              6118.6               254.6              1034.2
2009              2151.1             10376.8             11341.9               241.7              1144.6
2010              1452.0              7361.5             11009.8               266.8               981.4
2011              1509.7              6268.9              6518.8               274.1               961.7
2012              1265.4              5793.0             10218.0               253.9               947.1
2013              1553.9              5097.7              7499.5               109.7               914.2
2014              1118.6              4819.3              8037.7               178.2               983.4
