Year          Kazakhstan     Kyrgyz_Republic          Tajikistan        Turkmenistan          Uzbekistan
2000              1591.1              6156.0              5922.6               276.7              1101.0
2001              1309.6              5179.7              5711.6                51.9              1037.7
2002              1303.2              5089.1              6939.3               168.7               552.7
2003              1241.6              5473.6              7967.3               196.8               759.5
2004              1193.9              5826.1              9105.6               295.4               700.9
2005              1090.3              5306.8              6907.5               282.5               873.0
2006               871.7              4016.7              5663.6               209.7               713.1
2007               849.8              4024.6              5324.4               281.8               728.6
2008              1007.4              3758.2              4427.3               166.6               998.4
2009              1654.6              8164.1              8661.5               156.3               944.3
2010              1095.6              5527.0              7693.2               168.5               797.0
2011              1178.0              4915.0              4572.0               192.8               853.9
2012               982.7              4399.2              8424.9               170.2               765.7
2013              1221.6              4038.4              6214.4                67.4               695.3
2014               822.8              3654.8              6491.5               121.9               849.6
