Year          Kazakhstan     Kyrgyz_Republic          Tajikistan        Turkmenistan          Uzbekistan
2000               624.1              2724.7              2956.4                84.7               323.8
2001               500.2              2167.1              2729.4                17.6               283.6
2002               518.2              2229.9              3114.1                58.8               164.1
2003               517.2              2332.6              3580.5                64.5               242.9
2004               442.3              2360.1              4057.5                98.6               244.4
2005               425.9              2178.4              3148.7                84.1               267.3
2006               338.3              1692.9              2577.0                65.8               258.2
2007               331.7              1608.1              2316.1                87.8               226.4
2008               385.1              1536.0              1939.3                52.9               304.4
2009               647.7              3547.9              4158.0                48.0               277.9
2010               438.4              2386.4              3739.3                50.9               253.9
2011               446.5              2036.5              2173.1                57.8               219.6
2012               360.2              1781.2              3422.0                53.7               209.3
2013               450.4              1688.8              2625.3                19.5               210.4
2014               322.2              1495.3              2680.0                35.7               258.7
